Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,2,C9 C10,3.9pF,https://www.johansontechnology.com/downloads/catalog/johanson-technology-multi-layer-high-q-capacitors.pdf,C_0402_1005Metric,"3.9 pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",Johanson Technology Inc.,500R07S3R9BV4T,
2,1,C4,10n X7R 100V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2615/HMR105B7103KV-F_SS.pdf,C_0402_1005_DensityHigh,10000 pF ±10% 100V Ceramic Capacitor X7R 0402 (1005 Metric),Taiyo Yuden,HMR105B7103KV-F,
3,11,C1 C2 C6 C7 C8 C11 C12 C13 C16 C18 C19,100n X7R 50V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H104KE02-01.pdf,C_0402_1005_DensityHigh,0.1 µF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric),Murata Electronics,GCM155R71H104KE02J,
4,2,C14 C17,1u X7R 10V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155Z71A105KE01-01A.pdf,C_0402_1005_DensityHigh,1 µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric),Murata Electronics,GRM155Z71A105KE01J,
5,1,C3,1u X7R 25V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2146/TMK107AB7105KAHT_SS.pdf,C_0603_1608_DensityHigh,1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric),Taiyo Yuden,TMK107AB7105KAHT,
6,1,C15,4u7 X5R 25V,https://www.mouser.ch/datasheet/2/40/CM_Series_e-2835982.pdf,C_0402_1005_DensityHigh,4.7 µF ±20% 25V Ceramic Capacitor X5R 0402 (1005 Metric),KYOCERA AVX,CM05X5R475M25AH,
7,1,C5,4u7 X7R 16V,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188Z71C475KE21-01A.pdf,C_0603_1608_DensityHigh,4.7 µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric),Murata Electronics,GRM188Z71C475KE21J,
8,1,J2,S2B-PH-SM4-TB,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,JST Sales America Inc.,S2B-PH-SM4-TB,
9,1,J1,SM05B-GHS-TB,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,"Connector Header Surface Mount, Right Angle 5 position 0.049"" (1.25mm)",JST Sales America Inc.,SM05B-GHS-TB,
10,2,R5 R6,2k 1%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,R_0402_1005_DensityHigh,"2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",Vishay,ERJ-2RKF2001X,
11,4,R1 R2 R3 R4,10k 1%,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,R_0402_1005_DensityHigh,"10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film",YAGEO,RT0402FRE0710KL,
12,1,U2,BNO055,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bno055-ds000.pdf,LGA-28_5.2x3.8mm_P0.5mm,"Intelligent 9-axis absolute orientation sensor, LGA-28",Bosch Sensortec,BNO055,
13,1,U1,LP2992IM5-3.3/NOPB,https://www.ti.com/lit/ds/symlink/lp2992.pdf,SOT-23-5,Micropower 250-mA Low-Noise Ultra-Low-Dropout Regulator,Texas Instruments,LP2992IM5-3.3/NOPB,
14,1,U3,STM32G474RET3,https://www.st.com/resource/en/datasheet/stm32g474re.pdf,LQFP-64_10x10mm_P0.5mm,"STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 128KB RAM, 170 MHz, 1.71-3.6V, 58 GPIO, LQFP64",STMicroelectronics,STM32G474RET3,
15,1,Y1,ECS-.327-7-12-C-TR9,https://ecsxtal.com/store/pdf/ECX_12.pdf,Crystal_SMD_2012-2Pin_2.0x1.2mm,"32.768 kHz ±10ppm Crystal 7pF 90 kOhms 2-SMD, No Lead",ECS Inc.,ECS-.327-7-12-C-TR9,
